suburb,property_type,bedrooms,bathrooms,car_spaces,size_m2,sale_method,sale_month,description
Blacktown,House,3,1,1,835.0,Auction,8,"Located within walking distance to premier schools, shops, transport and in one of the districts best areas, rare find is this oversized three bedroom brick veneer family home boasting open plan livin"
Chatswood,Apartment,2,2,1,130.0,Private treaty,6,"Level 26 Regency Sub-Penthouse with North-East Stunning Views
Positioned high on Level 26 of the iconic ""Regency"" building, this sub-penthouse apartment captures breathtaking panoramic views with an e"
Chatswood,House,5,3,1,243.0,Private treaty,5,"Rare brand new masterpiece on the premium East side of Chatswood
An expression in refined luxury, this brand new freestanding home embodies sophistication with an outstanding double brick and concrete"
Blacktown,House,3,1,1,682.9,Private treaty,8,"Presenting an outstanding opportunity for families, renovators, investors and developers, this original single level home. The existing residence offers three generous bedrooms, separate living and di"
Parramatta,House,3,1,1,461.6,Private treaty,5,"SOLD BY RAY WHITE PARRAMATTA GROUP
We've been overwhelmed by the amount of interest in similar properties. If you are considering selling, please feel free to get in touch with the expert team at Ray "
Parramatta,Apartment,2,1,1,91.0,Private treaty,9,"Beautifully Updated with Wraparound Balcony in Boutique Block of Five
Set within a tightly held block of only five residences, this stylishly updated two-bedroom apartment pairs fresh contemporary int"
Blacktown,Apartment,2,2,1,128.0,Private treaty,7,"This modern 2-bedroom, 2-bathroom and 1-car space apartment is positioned on the top floor in the heart of Blacktown, offering a perfect blend of comfort, style, and convenience. Designed for easy liv"
Blacktown,House,7,4,6,739.8,Auction,8,"Luxury Custom Built Family Home
Custom built and only four years young, this architecturally striking double-storey residence is set on a generous 739.8sqm block with an 15.25m frontage and delivers a"
Parramatta,Apartment,2,2,1,94.0,Private treaty,9,"SOLD BY RAY WHITE PARRAMATTA GROUP
We've been overwhelmed by the amount of interest in similar properties. If you are considering selling, please feel free to get in touch with the expert team at Ray "
Chatswood,House,4,2,1,359.0,Auction,5,"Spacious, Sunlit & Perfectly Positioned for Family Living
Nestled in a quiet leafy enclave in esteemed Chatswood, this north-facing beauty will surprise and delight. Offering 4 spacious bedrooms, incl"
Chatswood,Apartment,2,2,2,145.0,Private treaty,6,"Architecturally stunning with a distinctive house-like design, this extraordinary dual level residence presents the perfect option for families seeking affordable easy-care space and walk to the best "
Parramatta,House,3,2,2,343.5,Private treaty,11,"SOLD BY RAY WHITE PARRAMATTA GROUP
We've been overwhelmed by the amount of interest in similar properties. If you are considering selling, please feel free to get in touch with the expert team at Ray "
